row_id,X,Y,Presence,Week,WeekStart,ObsDate,Source,Precip_T45,Precip,Temp,SoilTemp_T30,SoilTemp_T15,Moisture_T30,Moisture_T15,RVI_T45,RVI_T30,RVI_T0,RVI_Phenology_Delta
0,37.2333333330001,0.8,1,1,2020-02-18,2020-02-18,fao_swarm,0.016458616,0.033766105,296.0560277,298.2238505,298.2126235,-6.137288701,-4.97144083,0.9406783615264556,0.7829831649490131,0.779858842634463,-0.15769519657744246
1,36.7,2.75,1,1,2020-02-18,2020-02-21,fao_swarm,0.000969082,0.029031529,303.006695,305.440566,305.9915406,-9.644313175,-8.306114389,0.4015406004881688,0.6963109539077177,0.3566134340984105,0.2947703534195489
2,36.95,0.0,1,1,2020-02-18,2020-02-21,fao_swarm,0.046519399,0.019002556,290.2357749,290.9553663,291.2072361,-4.774273729,-5.679981556,0.926483026594722,1.0031634821003186,0.8579530350915058,0.07668045550559655
3,36.25,0.28333333300003,1,1,2020-02-18,2020-02-21,fao_swarm,0.087074861,0.064158931,289.6151531,292.3423238,292.5082181,-5.161341694,-5.688591878,0.7891212446286617,0.9341501899380116,1.0828956805661103,0.14502894530934984
4,36.266666667,0.31666666700005,1,1,2020-02-18,2020-02-21,fao_swarm,0.087074861,0.064158931,289.6151531,292.3423238,292.5082181,-5.741170371,-5.928007326,0.8126564251442245,0.8419739744711507,0.7041470672929444,0.029317549326926207
5,36.8,0.6,1,1,2020-02-18,2020-02-21,fao_swarm,0.01628691,0.017420351,292.2283476,293.6917324,293.7191393,-8.274166703,-5.7644794,0.6840190676186023,0.5180854945231034,0.6679142122004778,-0.16593357309549894
6,37.05,0.433333333000064,1,1,2020-02-18,2020-02-22,fao_swarm,0.020640507,0.020685851,292.0499079,293.3870178,293.5968086,-6.215517881,-5.898821755,0.7092661391371157,0.7754359706439509,0.8606358184881188,0.0661698315068352
7,36.9833333330001,0.03333333300003,1,1,2020-02-18,2020-02-22,fao_swarm,0.088069394,0.037156134,290.3997831,290.8918463,290.8079739,-5.319426879,-5.469859772,0.7216678753965751,0.9083521445952378,0.7551345365397243,0.18668426919866277
8,37.05,0.0,1,1,2020-02-18,2020-02-22,fao_swarm,0.088069394,0.037156134,290.3997831,290.8918463,290.8079739,-5.612774359,-7.424455925,0.9259585460510702,0.8635561197617461,0.660961211685696,-0.06240242628932413
9,37.021944444,5.31166666700005,1,1,2020-02-18,2020-02-18,fao_swarm,0.002385721,0.025400146,301.0600858,299.1665208,299.4991632,-6.579667869,-6.782408836,0.6735438302686483,0.7244810980688308,0.8313698366795782,0.050937267800182484
10,37.026111111,5.31166666700005,1,1,2020-02-18,2020-02-18,fao_swarm,0.002385721,0.025400146,301.0600858,299.1665208,299.4991632,-6.065887573,-8.268997975,0.8917213515089832,0.7937534436664717,0.7826519986566663,-0.09796790784251153
11,37.065555556,5.42055555600007,1,1,2020-02-18,2020-02-18,fao_swarm,0.003829882,0.02279441,299.4333063,298.010949,298.53439,-5.658764899,-4.969260148,0.8387014853509174,0.854949718699786,0.9987559585424248,0.0162482333488686
12,37.1244444440001,5.38888888900004,1,1,2020-02-18,2020-02-18,fao_swarm,0.003829882,0.02279441,299.4333063,298.010949,298.53439,-4.90178274,-4.906108267,0.9343885760613816,0.9893176078835008,0.8775119617078249,0.05492903182211917
