row_id,Moisture_T30,Moisture_T15
0,-6.137288701,-4.97144083
1,-9.644313175,-8.306114389
2,-4.774273729,-5.679981556
3,-5.161341694,-5.688591878
4,-5.741170371,-5.928007326
5,-8.274166703,-5.7644794
6,-6.215517881,-5.898821755
7,-5.319426879,-5.469859772
8,-5.612774359,-7.424455925
9,-6.579667869,-6.782408836
10,-6.065887573,-8.268997975
11,-5.658764899,-4.969260148
12,-4.90178274,-4.906108267
13,-6.672840311,-6.336373327
14,-6.819010991,-6.012871056
15,-5.861446834,-5.691360872
16,-5.737079898,-7.249255597
17,-5.775173995,-5.946393606
18,-5.354534204,-5.920859414
19,-6.717140388,-6.203313213
20,-7.074785037,-5.648781758
21,-7.049353453,-6.874900511
22,-5.50529927,-6.198100033
23,-5.837399062,-5.566907304
24,-9.336068217,-8.741500965
25,-7.552307133,-7.413163204
26,-5.987080211,-6.958334057
27,-5.708722815,-6.452301335
28,-9.290448127,-7.313089312
29,-5.761174266,-6.18139837
30,-6.840109182,-6.332905571
31,-5.243574602,-5.245716435
32,-4.504933591,-5.601313382
33,-6.960596641,-6.694321411
34,-4.798537617,-4.936503435
35,-5.611936581,-4.429857458
36,-8.037908859,-7.438057841
37,-5.680852222,-4.831902219
38,-7.42230989,-5.051350865
39,-6.160278527,-6.691985542
40,-4.007287669,-4.63666138
41,-4.780791271,-5.07165931
42,-5.020788503,-2.759475911
43,-9.684207965,-9.827861467
44,-6.137421155,-6.882277222
45,-12.57016464,-11.26253225
46,-5.546157509,-5.570843305
47,-10.61729445,-10.19924711
48,-5.887197184,-4.802947428
49,-5.514033583,-6.817156949
50,-9.493542125,-8.172041374
51,-5.890490061,-5.928859783
52,-9.552312138,-9.698126309
53,-6.742314628,-4.934113966
54,-10.27665328,-11.14241363
55,-6.996768389,-7.467448096
56,-6.352115946,-6.137465831
57,-4.218739051,-4.616268994
58,-4.700489317,-4.417444709
59,-6.746414207,-5.878383141
60,-5.699622069,-6.696750462
61,-4.314890802,-4.821938987
62,-4.174059269,-5.399014359
63,-7.647879261,-6.182618412
64,-6.56542159,-7.57468576
65,-5.194621894,-4.375207039
66,-5.430763349,-3.46199074
67,-5.482014466,-5.146853493
68,-4.801708997,-4.418089752
69,-15.97436263,-14.05081153
70,-4.715075159,-5.672485831
71,-5.458641207,-5.799601677
72,-4.877076344,-3.97623832
73,-4.689012798,-5.151594017
74,-3.045056311,-4.985979799
75,-5.168543515,-4.847067618
76,-6.246694881,-6.782399685
77,-4.553146131,-4.790035049
78,-7.362258079,-6.431174432
79,-7.010812271,-5.888202208
80,-4.990842307,-4.784434416
81,-3.512586604,-5.987488341
82,-2.164828445,-4.185765861
83,-6.420082699,-6.96095395
84,-6.955221209,-7.257632126
85,-6.324576593,-5.377205713
86,-6.973092886,-6.154572795
87,-4.950280916,-5.40650377
88,-4.621556892,-5.548362681
89,-5.780068802,-5.017263685
90,-6.745266756,-6.231228254
91,-6.019244365,-7.147786913
92,-4.815076298,-5.609281702
93,-5.120869056,-5.4852978
94,-4.940335919,-5.321141915
95,-5.271407548,-6.666129819
96,-5.265139407,-4.83109083
97,-5.435190833,-4.156378626
98,-6.267550939,-3.860365899
99,-10.23039165,-10.63775159
100,-6.488028187,-5.011194245
101,-5.945158451,-5.30414637
102,-6.800821664,-5.678960627
103,-6.763302404,-6.187506126
104,-8.430160404,-8.414334291
105,-5.199802824,-6.363302545
106,-6.935062861,-6.187548467
107,-5.671043022,-4.140174184
108,-5.816920047,-6.32712008
109,-4.757794464,
110,-5.569907841,-7.15675739
111,-5.182803891,-6.202797404
112,-6.728584593,-7.260361156
113,-6.280696405,-8.948900808
114,-7.362267088,-9.612476974
115,-7.163356881,-4.549152761
116,-7.063520197,-4.068891169
117,-4.763068532,-4.910601886
118,-6.120017206,-4.851748205
