row_id,Moisture_T30,Moisture_T15
0,-9.290448127225293,-7.313089312400827
1,-5.243574601617674,-5.245716434728758
2,-4.504933591407004,-5.601313382266579
3,-6.960596641025764,-6.694321411440173
4,-4.983633108447675,-6.009945837456737
5,-4.8017089974588725,-4.418089752284418
6,-5.103885710997377,-5.294316293456541
7,-6.977422351249354,-7.136532714205341
8,-4.8017089974588725,-4.418089752284418
9,-5.438295012473612,-5.661642559558958
10,-6.977422351249354,-7.136532714205341
11,-5.775173994719285,-5.946393606225181
12,-5.66386548644476,-5.181051534517918
13,-9.862731291132796,-9.820004890883746
14,-5.3882757551563145,-5.203467208746648
15,-6.301061702887218,-7.926648026746415
16,-5.896232179505395,-6.523521522200829
17,-6.0621902741629325,-5.652151155668303
18,-7.859956068715099,-7.782126363459065
19,-6.811900400254846,-4.917848046455173
20,-7.7605407941967215,-8.391514379892236
21,-7.795896755247658,-5.697288387040258
22,-5.065215551255282,-5.376193945562285
23,-11.109732761834586,-11.817861133442577
24,-9.132797622285082,-9.207945516569422
25,-8.934457239374268,-8.776276927480552
26,-15.974362630310035,-14.05081152945893
27,-6.845331987562804,-4.072341110232621
28,-6.1131475315149455,-5.907812375327113
29,-4.9290436281150685,-4.882290142200901
30,-5.9654735278810715,-7.185763861506905
31,-5.529006735487015,-4.4729256470770835
32,-6.955221209382728,-7.257632126229616
33,-6.973092886157909,-6.154572794595438
34,-5.866781154912644,
35,-6.259251261687317,-5.383219757309943
36,-5.980156597657448,-6.428572363041173
37,-5.222639451480435,-6.1417889671095605
38,-3.9298707568723996,-3.652478029793608
39,-6.977422351249354,-7.136532714205341
40,-7.1427849288749705,-6.047933521647964
41,-5.103885710997377,-5.294316293456541
42,-4.878065680089797,-5.063733004275831
43,-4.332181471151278,-4.300787285927935
44,-10.637054569660798,-9.677791702741457
45,-6.137288701121794,-4.971440830127992
46,-6.077246778428487,-5.139701557865347
47,-4.013311843545822,-4.85490447378802
48,-6.396614042984677,-6.1984279092507
49,-5.486638633713159,-5.260460368244602
50,-8.555777051035612,-8.165858064970804
51,-7.472399184116727,-7.941501220539365
52,-6.969819662526409,-6.747278007567726
53,-12.49011378027594,-11.640784332088337
54,-9.109068864160122,-8.455315121296376
55,-6.631146013828061,-6.430915260280182
56,-5.305005063708152,-5.862901675329262
57,-8.128825961161862,-6.869053945712839
58,-7.920589480515367,-10.441768067507596
59,-5.918783589838125,-5.55713973304853
60,-8.360410524214647,-7.380074834805459
61,-8.36452125650915,-7.322766722240715
62,-6.870493059471312,-7.924944822216965
63,-6.176461303838168,-6.830033682517401
64,-5.4268546095301256,-4.864775450869904
65,-5.4562484050621975,-5.574640718287162
66,-3.86969808009436,-5.478191474928736
67,-6.703984243934149,-7.168652888122885
68,-6.406163434487056,-3.7710855563416423
69,-6.258785859609296,-5.143263152537948
70,-5.60202497149053,-5.578201517392511
71,-5.96552279956328,-4.352754375257771
72,-5.646106800121847,-5.1399169178160555
73,-5.430854402162064,-6.406138392444639
74,-4.7630685317816495,-4.910601886110436
75,-8.528765654003458,-7.760164490714662
76,-6.057354970914,-5.5168057497370455
77,-11.849329872344732,-10.711753749346492
78,-5.744599929531181,-4.8558642416997735
79,-5.969775360103214,-5.798626385843541
80,-5.109650013071383,-4.802921038445099
81,-5.348074564987704,-6.111707851366155
82,-11.768827508825979,-11.459122189526486
83,-4.000086319288192,-4.300083551543545
84,-6.072379357543924,-4.734798928026313
85,-5.116192533684465,-4.973844541925071
86,-5.118796044418046,-5.112071361995867
87,-5.153069585835587,-4.290105949826923
88,-4.578136358686509,-5.44846173128925
89,-7.076819276219722,-7.185754253527098
90,-5.020467087539739,-4.17850675069656
91,-7.907341726028403,-7.605660499035752
92,-5.162370634644847,-3.7434497492308836
93,-5.381455969244884,-5.919736875256689
94,-5.318503403553487,-4.508327441158812
95,-6.150638353297581,-5.251694036319062
96,-6.7053551057140455,-4.918784285997507
97,-5.381455969244884,-5.919736875256689
98,-6.459598677767708,-5.299546175767036
99,-5.465428397209156,-3.9299527386991464
100,-6.1834932398151485,-4.227488906321772
101,-5.868777764772471,-5.061208700797687
102,-6.000457114514642,-5.021401736396263
103,-7.77695865013002,-6.309099805070904
104,-5.701277058095528,-5.038131133790486
105,-5.809317107320758,-5.852949832018018
106,-5.701277058095528,-5.038131133790486
107,-5.809317107320758,-5.852949832018018
108,-5.827960268776731,-4.627249685780244
109,-5.215052116003313,-5.849281767019923
110,-5.633610537100935,-5.636852161708678
111,-4.806459035957944,-5.2706790534586
112,-5.633610537100935,-5.636852161708678
113,-5.380322682639106,-7.129958061955259
114,-5.547426680061988,-7.970845435406547
115,-5.384369529334743,-6.346557744680414
116,-6.293319490965196,-5.258819322092348
117,-5.536701092609624,-5.9056673443783545
118,-6.177950287443623,-6.5077831730710916
119,-4.215214519412829,-5.515837210390266
120,-6.728373192646668,-7.4598121177911025
121,-6.005013553287493,-4.978099383407724
122,-5.46167158568664,-4.189449060369807
123,-6.281462370578297,-7.264751004257382
124,-5.733543393587519,-4.76213328137376
125,-5.589638718979966,-5.48474633216477
126,-6.040096363320149,-6.597631541065672
127,-7.346591424953521,-7.174960479450302
128,-7.607547039260545,-4.97887085901824
129,-4.928288916275337,-6.506158252650534
130,-5.646429819899072,-4.815155467376608
131,-5.616192316208357,-7.0414928763710005
132,-6.071836155249496,-6.2192758806818915
133,-5.411469111019661,-6.305754877124624
134,-5.202449870894391,-5.436102633378191
135,-5.216507338270682,-4.597441352960635
136,-5.808224915759035,-5.556966694669219
137,-6.168477537577989,-6.357943681481965
138,-6.399649833645492,-6.722259194927208
139,-7.7740157599887425,-6.738670615276256
140,-6.393330278280694,-5.5361911919568865
141,-6.241632844258886,-6.677302560020777
142,-4.5276025302731115,-6.431102591660071
143,-5.60946694861294,-5.287677127271854
144,-5.544661176604759,-5.065844541863044
145,-4.942126444672949,-4.502876841185248
146,-4.81718935093446,-4.1432122780973994
147,-4.533768356937087,-5.398331994458598
148,-3.715779376989734,-3.6357422367494117
149,-3.949278779660731,-5.4913863062305825
150,-4.712535051916025,-4.862064467278746
151,-5.046343061974208,-5.256516142242802
152,-5.749994703917258,-6.309458711226775
153,-5.990747904045205,-6.085148634400266
154,-6.045325683836724,-5.639664361630306
155,-4.835266065628857,-6.308040013149979
156,-6.367485083040877,-5.726850896156822
157,-6.003505305936074,-5.978978499832984
158,-7.711158648865393,-6.104093248411477
159,-6.115080781974504,-6.186811845216267
160,-5.644208434816549,-5.026348088885474
161,-6.688162194203901,-5.56399211436001
162,-6.753038315595837,-6.078328891325423
163,-6.86394751820154,-6.361934687370713
164,-4.614765989582425,-4.907128923485329
165,-4.796529236494063,-4.096675076437062
166,-5.610672154170585,-4.854203627954555
167,-5.015205665028644,-4.511031136095028
168,-5.3829372777947695,-4.270073849256457
169,-5.222639451480435,-6.1417889671095605
170,-5.940834496059739,-5.123010176549299
171,-4.334895320168684,-5.595974887221734
172,-5.103885710997377,-5.294316293456541
173,-6.285607192404213,-5.177020285427881
174,-8.528765654003458,-7.760164490714662
175,-5.351735885928868,-5.569517950431575
176,-4.796302919993765,-5.1646149911375385
177,-5.042751587860307,-6.066052560110625
178,-5.479982473761549,-7.829236280807134
179,-5.222639451480435,-6.1417889671095605
180,-5.701277058095528,-5.038131133790486
181,-5.809317107320758,-5.852949832018018
182,-6.067657996193083,-4.9956939837669445
183,-7.519222780642243,-6.28403378201784
184,-5.59066087304702,-3.591850526262647
185,-6.077145792934182,-5.797896290396473
186,-5.929828371631604,
187,-7.519222780642243,-6.28403378201784
188,-8.112337615310715,-8.156533771429453
189,-6.077145792934182,-5.797896290396473
190,-6.720954252864388,-5.5832297138493265
191,-5.306756674946406,-4.984077971038502
