seasonal_correction,features,week,start,end,lead_days,swarms,auc,precision,recall,found,missed,false_alarms
True,era5,7,2020-03-31,2020-04-06,16,51,0.7132,0.68,0.6667,34,17,16
True,era5,8,2020-04-07,2020-04-13,23,154,0.765,0.7315,0.7078,109,45,40
True,era5,9,2020-04-14,2020-04-20,30,118,0.7743,0.6935,0.7288,86,32,38
True,era5,10,2020-04-21,2020-04-27,37,140,0.7691,0.6846,0.7286,102,38,47
True,all,7,2020-03-31,2020-04-06,16,51,0.674,0.6222,0.549,28,23,17
True,all,8,2020-04-07,2020-04-13,23,154,0.7219,0.7113,0.6558,101,53,41
True,all,9,2020-04-14,2020-04-20,30,118,0.7429,0.7091,0.661,78,40,32
True,all,10,2020-04-21,2020-04-27,37,140,0.7,0.6759,0.7,98,42,47
False,era5,7,2020-03-31,2020-04-06,16,51,0.5861,0.6562,0.4118,21,30,11
False,era5,8,2020-04-07,2020-04-13,23,154,0.6564,0.6667,0.4416,68,86,34
False,era5,9,2020-04-14,2020-04-20,30,118,0.6141,0.6027,0.3729,44,74,29
False,era5,10,2020-04-21,2020-04-27,37,140,0.5987,0.6667,0.4429,62,78,31
False,all,7,2020-03-31,2020-04-06,16,51,0.5965,0.5254,0.6078,31,20,28
False,all,8,2020-04-07,2020-04-13,23,154,0.5948,0.5417,0.5909,91,63,77
False,all,9,2020-04-14,2020-04-20,30,118,0.5504,0.4846,0.5339,63,55,67
False,all,10,2020-04-21,2020-04-27,37,140,0.6229,0.523,0.65,91,49,83
