seasonal_correction,features,week,start,end,lead_days,swarms,auc,precision,recall,found,missed,false_alarms
True,era5,7,2020-03-31,2020-04-06,16,141,0.7909,0.7111,0.6809,96,45,39
True,era5,8,2020-04-07,2020-04-13,23,224,0.7684,0.7379,0.6786,152,72,54
True,era5,9,2020-04-14,2020-04-20,30,128,0.8066,0.7876,0.6953,89,39,24
True,era5,10,2020-04-21,2020-04-27,37,156,0.7454,0.7192,0.6731,105,51,41
True,all,7,2020-03-31,2020-04-06,16,141,0.7783,0.7302,0.6525,92,49,34
True,all,8,2020-04-07,2020-04-13,23,224,0.7589,0.7524,0.692,155,69,51
True,all,9,2020-04-14,2020-04-20,30,128,0.7468,0.7404,0.6016,77,51,27
True,all,10,2020-04-21,2020-04-27,37,156,0.7112,0.7463,0.641,100,56,34
False,era5,7,2020-03-31,2020-04-06,16,141,0.6107,0.6337,0.4539,64,77,37
False,era5,8,2020-04-07,2020-04-13,23,224,0.6035,0.6345,0.4107,92,132,53
False,era5,9,2020-04-14,2020-04-20,30,128,0.5823,0.5882,0.3906,50,78,35
False,era5,10,2020-04-21,2020-04-27,37,156,0.5563,0.6147,0.4295,67,89,42
False,all,7,2020-03-31,2020-04-06,16,141,0.572,0.5212,0.6099,86,55,79
False,all,8,2020-04-07,2020-04-13,23,224,0.5874,0.5247,0.6161,138,86,125
False,all,9,2020-04-14,2020-04-20,30,128,0.518,0.5072,0.5469,70,58,68
False,all,10,2020-04-21,2020-04-27,37,156,0.5814,0.5307,0.609,95,61,84
