seasonal_correction,features,week,start,end,lead_days,swarms,auc,precision,recall,found,missed,false_alarms
True,era5,7,2020-03-31,2020-04-06,16,51,0.7132,0.68,0.6667,34,17,16
True,era5,8,2020-04-07,2020-04-13,23,154,0.765,0.7315,0.7078,109,45,40
True,era5,9,2020-04-14,2020-04-20,30,118,0.7743,0.6935,0.7288,86,32,38
True,era5,10,2020-04-21,2020-04-27,37,140,0.7691,0.6846,0.7286,102,38,47
True,all,7,2020-03-31,2020-04-06,16,51,0.674,0.6222,0.549,28,23,17
True,all,8,2020-04-07,2020-04-13,23,154,0.7219,0.7113,0.6558,101,53,41
True,all,9,2020-04-14,2020-04-20,30,118,0.7429,0.7091,0.661,78,40,32
True,all,10,2020-04-21,2020-04-27,37,140,0.7,0.6759,0.7,98,42,47
True,era5_smap,7,2020-03-31,2020-04-06,16,51,0.7409,0.6939,0.6667,34,17,15
True,era5_smap,8,2020-04-07,2020-04-13,23,154,0.7835,0.7153,0.6688,103,51,41
True,era5_smap,9,2020-04-14,2020-04-20,30,118,0.7843,0.6911,0.7203,85,33,38
True,era5_smap,10,2020-04-21,2020-04-27,37,140,0.7587,0.6985,0.6786,95,45,41
True,all_smap,7,2020-03-31,2020-04-06,16,51,0.7213,0.6154,0.4706,24,27,15
True,all_smap,8,2020-04-07,2020-04-13,23,154,0.7606,0.7068,0.6104,94,60,39
True,all_smap,9,2020-04-14,2020-04-20,30,118,0.7653,0.697,0.5847,69,49,30
True,all_smap,10,2020-04-21,2020-04-27,37,140,0.6973,0.694,0.6643,93,47,41
False,era5,7,2020-03-31,2020-04-06,16,51,0.5861,0.6562,0.4118,21,30,11
False,era5,8,2020-04-07,2020-04-13,23,154,0.6564,0.6667,0.4416,68,86,34
False,era5,9,2020-04-14,2020-04-20,30,118,0.6141,0.6027,0.3729,44,74,29
False,era5,10,2020-04-21,2020-04-27,37,140,0.5987,0.6667,0.4429,62,78,31
False,all,7,2020-03-31,2020-04-06,16,51,0.5965,0.5254,0.6078,31,20,28
False,all,8,2020-04-07,2020-04-13,23,154,0.5948,0.5417,0.5909,91,63,77
False,all,9,2020-04-14,2020-04-20,30,118,0.5504,0.4846,0.5339,63,55,67
False,all,10,2020-04-21,2020-04-27,37,140,0.6229,0.523,0.65,91,49,83
False,era5_smap,7,2020-03-31,2020-04-06,16,51,0.5588,0.5217,0.4706,24,27,22
False,era5_smap,8,2020-04-07,2020-04-13,23,154,0.4636,0.4123,0.3052,47,107,67
False,era5_smap,9,2020-04-14,2020-04-20,30,118,0.4813,0.4752,0.4068,48,70,53
False,era5_smap,10,2020-04-21,2020-04-27,37,140,0.4868,0.4874,0.4143,58,82,61
False,all_smap,7,2020-03-31,2020-04-06,16,51,0.5826,0.5484,0.3333,17,34,14
False,all_smap,8,2020-04-07,2020-04-13,23,154,0.5831,0.6237,0.3766,58,96,35
False,all_smap,9,2020-04-14,2020-04-20,30,118,0.6171,0.662,0.3983,47,71,24
False,all_smap,10,2020-04-21,2020-04-27,37,140,0.602,0.5833,0.4,56,84,40
