Category,lat,lon,Part of month,Observation Date,Treated Area (ha),Country,Location Name,Control
ADULT,19.64972,-14.38528,Early,10-02-2004,100,Mauritania,N/A,TRUE
ADULT,19.61528,-14.43694,Early,10-02-2004,120,Mauritania,N/A,TRUE
ADULT,19.77972,-13.88,Early,10-02-2004,1500,Mauritania,N/A,TRUE
ADULT,19.60194,-13.58972,Early,10-02-2004,600,Mauritania,N/A,TRUE
ADULT,22.53611,-12.81944,Early,10-02-2004,800,Mauritania,N/A,TRUE
ADULT,22.53611,-12.81944,Early,10-02-2004,800,Mauritania,N/A,TRUE
ADULT,22.85333,-12.32639,Early,10-02-2004,415,Mauritania,N/A,TRUE
ADULT,22.60028,-12.80361,Early,10-02-2004,900,Mauritania,N/A,TRUE
ADULT,18.288888,37.683334,Early,10-02-2004,64,Sudan,TOKAR,TRUE
ADULT,22.225559,39.370559,Early,10-02-2004,150,Saudi Arabia,KHULAIS SAUDI AR,TRUE
ADULT,21.92889,39.209999,Early,10-02-2004,120,Saudi Arabia,DAHABAN SAUDI AR,TRUE
ADULT,22.217779,39.362781,Early,10-02-2004,300,Saudi Arabia,KHULAIS SAUDI AR,TRUE
ADULT,21.94778,39.433891,Early,10-02-2004,30,Saudi Arabia,UM ALJEREM SAUDI,TRUE
ADULT,21.73417,39.53833,Early,10-02-2004,50,Saudi Arabia,AL JUMUM SAUDI A,TRUE
ADULT,21.691389,39.736389,Early,10-02-2004,30,Saudi Arabia,AL JUMUM SAUDI A,TRUE
ADULT,21.836669,39.62833,Early,10-02-2004,35,Saudi Arabia,HADDAT ASH SHAM,TRUE
ADULT,21.85556,39.34555,Early,10-02-2004,45,Saudi Arabia,ASFAN SAUDI ARAB,TRUE
ADULT,22.034439,39.39722,Early,10-02-2004,50,Saudi Arabia,GHRAN SAUDI ARAB,TRUE
ADULT,18.211111,9.901944,Early,10-02-2004,30,Niger,ARLIT,TRUE
ADULT,18.2425,9.920833,Early,10-02-2004,50,Niger,ARLIT,TRUE
ADULT,18.279167,9.941111,Early,10-02-2004,200,Niger,ARLIT,TRUE
ADULT,18.286111,9.971388,Early,10-02-2004,150,Niger,ARLIT,TRUE
ADULT,18.407777,9.855278,Early,10-02-2004,15,Niger,ARLIT,TRUE
ADULT,18.375,9.898056,Early,10-02-2004,25,Niger,ARLIT,TRUE
ADULT,18.178333,9.903333,Early,10-02-2004,300,Niger,ARLIT,TRUE
BAND,22.793329,39.453891,Early,10-02-2004,600,Saudi Arabia,MEGHNIYAH,TRUE
BAND,22.75333,39.31805,Early,10-02-2004,35,Saudi Arabia,AL HAJAR SAUDI A,TRUE
BAND,22.75333,39.31805,Early,10-02-2004,35,Saudi Arabia,AL HAJAR SAUDI A,TRUE
BAND,22.888889,39.176391,Early,10-02-2004,45,Saudi Arabia,AL NUAIBEA'A SAU,TRUE
BAND,22.888889,39.176391,Early,10-02-2004,45,Saudi Arabia,AL NUAIBEA'A SAU,TRUE
BAND,22.72417,39.382778,Early,10-02-2004,70,Saudi Arabia,AL HAJAR SAUDI A,TRUE
BAND,22.72417,39.382778,Early,10-02-2004,70,Saudi Arabia,AL HAJAR SAUDI A,TRUE
BAND,22.72833,39.208061,Early,10-02-2004,50,Saudi Arabia,AL JEHFA SAUDI A,TRUE
BAND,22.72833,39.208061,Early,10-02-2004,50,Saudi Arabia,AL JEHFA SAUDI A,TRUE
BAND,24.1175,38.54861,Early,10-02-2004,30,Saudi Arabia,`AJMIYAH SAUDI A,TRUE
BAND,24.155559,38.60667,Early,10-02-2004,15,Saudi Arabia,HARTHIYAH SAUDI,TRUE
BAND,24.142219,38.657218,Early,10-02-2004,15,Saudi Arabia,BAQ`A' SAUDI ARA,TRUE
HOPPER,20.7975,-12.98889,Early,10-02-2004,190,Mauritania,N/A,TRUE
HOPPER,20.7975,-12.98889,Early,10-02-2004,190,Mauritania,N/A,TRUE
HOPPER,20.26722,-13.46639,Early,10-02-2004,150,Mauritania,N/A,TRUE
HOPPER,20.26722,-13.46639,Early,10-02-2004,150,Mauritania,N/A,TRUE
HOPPER,20.205278,37.198055,Early,10-02-2004,50,Sudan,RED SEA,TRUE
HOPPER,20.205278,37.198055,Early,10-02-2004,50,Sudan,RED SEA,TRUE
HOPPER,20.206943,37.192501,Early,10-02-2004,50,Sudan,PORT SUDAN,TRUE
HOPPER,20.206943,37.192501,Early,10-02-2004,50,Sudan,PORT SUDAN,TRUE
HOPPER,20.307222,37.140277,Early,10-02-2004,100,Sudan,PORT SUDAN,TRUE
HOPPER,20.307222,37.140277,Early,10-02-2004,100,Sudan,PORT SUDAN,TRUE
NO LOCUST,22.8025,-12.25778,Early,10-02-2004,420,Mauritania,N/A,TRUE
NO LOCUST,22.426944,-14.377778,Early,10-02-2004,,Morocco,AGHAYLASSE,TRUE
NO LOCUST,24.171939,38.58583,Early,10-02-2004,20,Saudi Arabia,HARTHIYAH SAUDI,TRUE
SWARM,19.77917,-15.75722,Early,10-02-2004,150,Mauritania,N/A,TRUE
SWARM,23.631389,-15.506111,Early,10-02-2004,,Morocco,EL AARGOUB,TRUE
SWARM,25.133333,-12.3,Early,10-02-2004,,Morocco,BRIBRAT,TRUE
SWARM,24.123332,-13.286389,Early,10-02-2004,,Morocco,OUM DREIGA,TRUE
SWARM,26.872222,-9.702777,Early,10-02-2004,,Morocco,OUIDIAN TAMAT,TRUE
SWARM,18.233612,9.676111,Early,10-02-2004,5,Niger,ARLIT,TRUE
ADULT,20.70806,-13.01,Late,11-02-2004,300,Mauritania,N/A,TRUE
ADULT,19.09945,-12.97528,Late,11-02-2004,280,Mauritania,N/A,TRUE
ADULT,19.76333,-13.03778,Late,11-02-2004,300,Mauritania,N/A,TRUE
ADULT,19.46305,-13.01,Late,11-02-2004,1900,Mauritania,N/A,TRUE
